team,Goals,Goals conceded,Possession (%),Passing accuracy (%),Balls recovered,Tackles won,Clean sheets,Saves,Distance covered (km),Yellow cards,Red cards,Right foot,Left foot,Head,Other,Own goals for,Assists,Attacks,Clear chances,Penalties scored,Penalties missed,Penalties awarded,Corners taken,Offsides,Dribbles,Runs into attacking third,Runs into key play area,Runs into penalty area,Passes completed,Short passes completed,Medium passes completed,Long passes completed,Backward passes completed,Passes completed to left,Passes completed to right,Crossing accuracy (%),Crosses completed,Free-kicks taken,Times in possession,Passes into attacking third,Passes into key play area,Passes into penalty area,Blocks,Own goals conceded,Penalties conceded,Clearances completed,Attempts conceded off target,Attempts conceded on target,Saves from direct free-kicks,Saves from indirect free-kicks,Saves from penalties,Claims,High claims,Low claims,Punches made,Fouls committed,Fouls committed in defensive third,Fouls committed in own half,Fouls suffered
Portugal,5,3,64.8%,90.4%,203,33,3,11,635.75,10,0,1,2,0,0,2,2,379,1,0,1,1,47,13,145,122,88,45,3303/3643,918/1016,2126/2285,259/342,646/662,879/955,882/950,20.92%,32/153,68,965,336,201,67,15,0,1,61/71,23,14,0,0,0,11,6,5,1,41,4,11,57
Slovakia,4,5,47.5%,82.5%,158,16,1,12,499.05,8,0,2,0,2,0,0,4,169,2,0,0,0,17,8,38,51,39,14,1527/1836,350/418,1034/1149,143/269,333/343,407/442,381/435,28.36%,19/67,55,767,120,63,33,18,0,1,54/81,19,17,1,0,0,13,5,8,8,49,11,17,46
Slovenia,2,2,35.5%,75%,172,35,2,14,490.93,11,1,1,1,0,0,0,1,117,2,0,0,0,13,9,39,36,28,12,940/1252,217/293,593/702,130/257,186/202,250/292,250/292,25.54%,12/47,43,771,94,67,23,26,0,1,126/142,21,16,2,0,1,9,5,4,6,51,18,28,34
Denmark,2,4,50.5%,86.25%,171,28,1,12,451.23,9,0,2,0,0,0,0,2,185,1,0,0,0,27,8,39,40,30,20,1943/2243,623/710,1184/1308,137/226,382/396,519/577,549/608,26.32%,20/76,39,664,143,114,50,5,0,1,49/57,20,16,0,0,0,6,3,3,1,48,5,19,28
France,4,3,49%,89.84%,231,29,4,16,682.63,9,0,1,0,1,0,2,3,341,3,1,0,1,34,5,129,127,108,59,2926/3235,748/842,1963/2094,216/300,549/566,806/868,794/848,25.22%,30/119,75,1006,274,203,80,19,0,1,94/115,15,19,0,0,0,19,11,8,4,64,12,24,69
Spain,13,3,57.34%,90%,255,28,3,16,723.51,15,1,4,6,2,0,1,10,351,3,0,0,0,34,10,131,153,127,53,3202/3544,708/812,2253/2390,244/345,666/682,842/918,872/935,31.74%,33/104,76,1026,296,208,75,17,1,1,79/103,31,18,0,0,1,27,11,16,1,83,13,29,70
Romania,4,6,40.75%,76.75%,112,13,1,16,446.35,9,0,3,1,0,0,0,2,138,2,1,0,1,16,3,40,47,38,15,933/1214,277/347,556/648,100/219,171/183,258/299,222/261,14.64%,6/41,48,724,77,60,17,19,0,0,66/108,30,22,0,0,0,11,4,7,4,38,11,16,36
Ukraine,2,4,52%,87.34%,106,21,1,10,343.49,3,0,1,1,0,0,0,2,130,1,0,0,0,15,8,28,40,31,13,1230/1403,239/273,887/968,104/162,218/227,359/393,340/364,15.56%,7/45,29,484,94,74,29,10,0,0,34/45,12,14,1,0,0,6,3,3,1,29,8,14,26
England,5,3,58.6%,90%,201,32,2,12,630.11,8,0,1,2,2,0,0,4,268,1,0,0,0,22,7,92,74,72,31,3045/3388,667/767,2141/2275,237/346,587/607,881/940,869/922,23.53%,20/85,79,880,251,174,61,15,0,0,54/73,22,15,0,0,0,11,3,8,2,44,5,14,73
Austria,7,6,53%,85%,179,20,0,7,462.17,12,0,3,1,2,0,1,6,205,4,1,0,1,21,5,38,75,68,17,1621/1900,383/449,1111/1229,127/222,311/328,421/469,441/487,30.34%,27/89,42,794,159,106,53,17,1,0,52/62,19,12,1,0,0,10,5,5,1,61,12,28,40
Belgium,2,2,53.75%,87.75%,130,28,2,14,439.87,8,0,2,0,0,0,0,2,207,3,0,0,0,21,7,69,64,61,44,1816/2071,426/498,1250/1349,142/226,332/339,548/593,507/548,15.91%,7/44,42,666,136,101,41,11,1,0,52/66,31,15,1,0,0,9,4,5,0,41,4,9,37
Netherlands,9,5,55.2%,88.6%,154,23,2,16,543.12,8,0,6,1,1,0,1,8,252,4,0,0,0,30,13,76,87,76,42,2170/2442,538/613,1467/1590,165/239,396/408,583/617,576/615,26.67%,24/90,54,825,196,130,72,14,1,0,75/93,22,20,1,0,0,11,7,4,4,55,9,21,48
